State,City,Population,First Name,Last Name,Email,"If no email,
Web Contact Form",Phone,Fax,Address 1,Address 2,Zip Code ,Term End (if obvious)
NE,Lincoln,258379,Leirion,Baird,mayor@lincoln.ne.gov,,(402) 441-7511,(402) 441-7120,"555 South 10th St., Suite 301",,68508,
NV,Henderson,257729,Debra,March,,https://clients.comcate.com/newrequest.php?id=90&dept=907,(702) 267-2085,,P. O Box 95050,,89002,
WA,Tacoma,222603,,,,,,,,,,
CA,Modesto,218758,,,,,,,,,,
CA,Fontana,218573,,,,,,,,,,
IA,Des Moines,217891,,,,,,,,,,
CA,San Bernardino,217671,,,,,,,,,,
CA,Frisco,215060,,,,,,,,,,
UT,Salt Lake City,213367,,,,,,,,,,
CA,Moreno Valley,212992,,,,,,,,,,
CA,Oxnard,212715,,,,,,,,,,
CA,Santa Clarita,210543,,,,,,,,,,
TX,McKinney,208487,,,,,,,,,,
FL,Port St. Lucie,206410,,,,,,,,,,
NC,Fayetteville,205646,,,,,,,,,,
MI,Grand Rapids,205289,,,,,,,,,,
CA,Glendale,204765,,,,,,,,,,
AL,Huntsville,202910,,,,,,,,,,
TX,Amarillo,202028,,,,,,,,,,
CA,Huntington Beach,201941,,,,,,,,,,
NV,Spring Valley,199722,,,,,,,,,,
FL,Cape Coral,199503,,,,,,,,,,
FL,Tallahassee,199205,,,,,,,,,,
NY,Yonkers,199021,,,,,,,,,,
IL,Aurora,198870,,,,,,,,,,
TX,Grand Prairie,198442,,,,,,,,,,
OH,Akron,198148,,,,,,,,,,
AZ,Little Rock,197371,,,,,,,,,,
AL,Montgomery,197282,,,,,,,,,,
KS,Overland Park,196636,,,,,,,,,,
GA,Augusta,196303,,,,,,,,,,
AZ,Tempe,194218,,,,,,,,,,
NV,Sunrise Manor,192934,,,,,,,,,,
TN,Knoxville,191060,,,,,,,,,,
SD,Sioux Falls,190519,,,,,,,,,,
GA,Columbus,189296,,,,,,,,,,
AL,Mobile,186804,,,,,,,,,,
CA,Ontario,186653,,,,,,,,,,
WA,Vancouver,186516,,,,,,,,,,
MA,Worcester,186433,,,,,,,,,,
FL,Fort Lauderdale,184599,,,,,,,,,,
TN,Chattanooga,184143,,,,,,,,,,
LA,Shreveport,183819,,,,,,,,,,
TX,Brownsville,183748,,,,,,,,,,
AZ,Peoria,180219,,,,,,,,,,
CA,Rancho Cucamonga,180031,,,,,,,,,,
OR,Salem,179944,,,,,,,,,,
RI,Providence,178901,,,,,,,,,,
OR,Eugene,178329,,,,,,,,,,
CA,Elk Grove,177406,,,,,,,,,,
CA,Santa Rosa,177132,,,,,,,,,,
VA,Newport News,177064,,,,,,,,,,
FL,Pembroke Pines,177058,,,,,,,,,,
CA,Oceanside,176950,,,,,,,,,,
NC,Cary,175102,,,,,,,,,,
CO,Fort Collins,172862,,,,,,,,,,
CA,Corona,171213,,,,,,,,,,
CA,Garden Grove,170328,,,,,,,,,,
MO,Springfield,169552,,,,,,,,,,
VA,Alexandria,165748,,,,,,,,,,
PR,Bayamón Zona Urbana,165383,,,,,,,,,,
TN,Clarksville,164496,,,,,,,,,,
NV,Enterprise,164314,,,,,,,,,,
CA,Hayward,161314,,,,,,,,,,
WY,Jackson,160080,,,,,,,,,,
CO,Lakewood,158660,,,,,,,,,,
CA,Lancaster,158627,,,,,,,,,,
FL,Hollywood,158239,,,,,,,,,,
CA,Palmdale,156299,,,,,,,,,,
CA,Salinas,155619,,,,,,,,,,
MA,Springfield,155472,,,,,,,,,,
WA,Bellevue,154647,,,,,,,,,,
TX,Killeen,153973,,,,,,,,,,
KS,Kansas City,153600,,,,,,,,,,
GA,Macon County,152519,,,,,,,,,,
CA,Sunnyvale,152427,,,,,,,,,,
CA,Pomona,152405,,,,,,,,,,
CA,Escondido,152245,,,,,,,,,,
TX,Pasadena,151891,,,,,,,,,,
TN,Murfreesboro,151066,,,,,,,,,,
IL,Naperville,149196,,,,,,,,,,
IL,Joliet,148227,,,,,,,,,,
NJ,Paterson,145871,,,,,,,,,,
GA,Savannah,145754,,,,,,,,,,
IL,Rockford,145020,,,,,,,,,,
TX,Midland,145012,,,,,,,,,,
TX,McAllen,144279,,,,,,,,,,
TX,Waco,144015,,,,,,,,,,
CA,Roseville,143921,,,,,,,,,,
CA,Torrance,143912,,,,,,,,,,
CO,Thornton,143890,,,,,,,,,,
LA,Metairie,143481,,,,,,,,,,
FL,Miramar,143219,,,,,,,,,,
CT,Bridgeport,143010,Joe,Ganim,mayor@bridgeportct.gov,,203-576-7201,203-576-3913,999 Broad Street,,,
KS,Olathe,142841,Michael,Copeland,mcopeland@olatheks.org,,913-971-8500,,100 E. Santa Fe Street,"Olathe, KS",66061-3409,January 2024 (mayor since 2001!)
TX,Denton,142173,Chris ,Watts,Chris.Watts@cityofdenton.com,,(940) 349-7717,,"City Hall, 215 E. McKinney Street","Denton, TX",76201,
AZ,Surprise,142049,Skip,Hall,mayor@surpriseaz.gov,,623.222.1313,,16000 N Civic Center Plaza,"Surprise, AZ",85374,"Dec 31, 2020 (serving remainder of former mayor's term)"
