City,Lincoln,Henderson,Tacoma,Modesto,Fontana,Des Moines,San Bernardino,Frisco,Salt Lake City,Moreno Valley,Oxnard,Santa Clarita,McKinney,Port St. Lucie,Fayetteville,Grand Rapids,Glendale,Huntsville,Amarillo,Huntington Beach,Spring Valley,Cape Coral,Tallahassee,Yonkers,Aurora,Grand Prairie,Akron,Little Rock,Montgomery,Overland Park,Augusta,Tempe,Sunrise Manor,Knoxville,Sioux Falls,Columbus,Mobile,Ontario,Vancouver,Worcester,Fort Lauderdale,Chattanooga,Shreveport,Brownsville,Peoria,Rancho Cucamonga,Salem,Providence,Eugene,Elk Grove,Santa Rosa,Newport News,Pembroke Pines,Oceanside,Cary,Fort Collins,Corona,Garden Grove,Springfield,Alexandria,Bayamón Zona Urbana,Clarksville,Enterprise,Hayward,Jackson,Lakewood,Lancaster,Hollywood,Palmdale,Salinas,Springfield,Bellevue,Killeen,Kansas City,Macon County,Sunnyvale,Pomona,Escondido,Pasadena,Murfreesboro,Naperville,Joliet,Paterson,Savannah,Rockford,Midland,McAllen,Waco,Roseville,Torrance,Thornton,Metairie,Miramar,Bridgeport,Olathe,Denton,Surprise
State,NE,NV,WA,CA,CA,IA,CA,CA,UT,CA,CA,CA,TX,FL,NC,MI,CA,AL,TX,CA,NV,FL,FL,NY,IL,TX,OH,AZ,AL,KS,GA,AZ,NV,TN,SD,GA,AL,CA,WA,MA,FL,TN,LA,TX,AZ,CA,OR,RI,OR,CA,CA,VA,FL,CA,NC,CO,CA,CA,MO,VA,PR,TN,NV,CA,WY,CO,CA,FL,CA,CA,MA,WA,TX,KS,GA,CA,CA,CA,TX,TN,IL,IL,NJ,GA,IL,TX,TX,TX,CA,CA,CO,LA,FL,CT,KS,TX,AZ
Population,258379,257729,222603,218758,218573,217891,217671,215060,213367,212992,212715,210543,208487,206410,205646,205289,204765,202910,202028,201941,199722,199503,199205,199021,198870,198442,198148,197371,197282,196636,196303,194218,192934,191060,190519,189296,186804,186653,186516,186433,184599,184143,183819,183748,180219,180031,179944,178901,178329,177406,177132,177064,177058,176950,175102,172862,171213,170328,169552,165748,165383,164496,164314,161314,160080,158660,158627,158239,156299,155619,155472,154647,153973,153600,152519,152427,152405,152245,151891,151066,149196,148227,145871,145754,145020,145012,144279,144015,143921,143912,143890,143481,143219,143010,142841,142173,142049
First Name,Leirion,Debra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe,Michael,Chris ,Skip
Last Name,Baird,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganim,Copeland,Watts,Hall
Email,mayor@lincoln.ne.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayor@bridgeportct.gov,mcopeland@olatheks.org,Chris.Watts@cityofdenton.com,mayor@surpriseaz.gov
"If no email,
Web Contact Form",,https://clients.comcate.com/newrequest.php?id=90&dept=907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,(402) 441-7511,(702) 267-2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203-576-7201,913-971-8500,(940) 349-7717,623.222.1313
Fax,(402) 441-7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203-576-3913,,,
Address 1,"555 South 10th St., Suite 301",P. O Box 95050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999 Broad Street,100 E. Santa Fe Street,"City Hall, 215 E. McKinney Street",16000 N Civic Center Plaza
Address 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Olathe, KS","Denton, TX","Surprise, AZ"
Zip Code ,68508,89002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66061-3409,76201,85374
Term End (if obvious),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 2024 (mayor since 2001!),,"Dec 31, 2020 (serving remainder of former mayor's term)"
